"Municipality","Year","Dissimilarity_Index","CCAA"
"Abadín",2020,0.013024104849897,"Galicia"
"Abadín",2015,0.0463014627851232,"Galicia"
"Abadín",2016,0.0747512043946711,"Galicia"
"Abadín",2017,0.0550821840670643,"Galicia"
"Abadín",2018,0.0245738884355442,"Galicia"
"Abadín",2019,0.0285104978414557,"Galicia"
"Abadiño",2020,0.100225692447319,"País Vasco"
"Abadiño",2015,0.131093404046077,"País Vasco"
"Abadiño",2016,0.110186242621763,"País Vasco"
"Abadiño",2017,0.0959946407259996,"País Vasco"
"Abadiño",2018,0.118987378163907,"País Vasco"
"Abadiño",2019,0.0931755381055255,"País Vasco"
"Abanilla",2020,0.122220067568085,"Murcia, Región de"
"Abanilla",2015,0.0894214866383622,"Murcia, Región de"
"Abanilla",2016,0.0897209606835741,"Murcia, Región de"
"Abanilla",2017,0.125107956489773,"Murcia, Región de"
"Abanilla",2018,0.0973973879328129,"Murcia, Región de"
"Abanilla",2019,0.11704187272856,"Murcia, Región de"
"Abanto y Ciérvana-Abanto Zierbena",2020,0.102477180736651,"País Vasco"
"Abanto y Ciérvana-Abanto Zierbena",2015,0.10821297498869,"País Vasco"
"Abanto y Ciérvana-Abanto Zierbena",2016,0.076475068029246,"País Vasco"
"Abanto y Ciérvana-Abanto Zierbena",2017,0.0928873044382108,"País Vasco"
"Abanto y Ciérvana-Abanto Zierbena",2018,0.101334736015248,"País Vasco"
"Abanto y Ciérvana-Abanto Zierbena",2019,0.110284606620112,"País Vasco"
"Abarán",2020,0.127196764678573,"Murcia, Región de"
"Abarán",2015,0.133629003253566,"Murcia, Región de"
"Abarán",2016,0.136074612921784,"Murcia, Región de"
"Abarán",2017,0.126320778121106,"Murcia, Región de"
"Abarán",2018,0.124024034251512,"Murcia, Región de"
"Abarán",2019,0.136821515564762,"Murcia, Región de"
"Abegondo",2020,0.0509315354008596,"Galicia"
"Abegondo",2015,0.0694801458205756,"Galicia"
"Abegondo",2016,0.030059891132511,"Galicia"
"Abegondo",2017,0.0282087560218852,"Galicia"
"Abegondo",2018,0.050748285407555,"Galicia"
"Abegondo",2019,0.0431511848856774,"Galicia"
"Abenójar",2020,0.0499135654242132,"Castilla - La Mancha"
"Abenójar",2015,0.0229236546928698,"Castilla - La Mancha"
"Abenójar",2016,0.063077702566308,"Castilla - La Mancha"
"Abenójar",2017,0.0632956234574407,"Castilla - La Mancha"
"Abenójar",2018,0.0292501387414329,"Castilla - La Mancha"
"Abenójar",2019,0.020232282245841,"Castilla - La Mancha"
"Abrera",2020,0.118776512594015,"Cataluña"
"Abrera",2015,0.112840800860646,"Cataluña"
"Abrera",2016,0.113025973094442,"Cataluña"
"Abrera",2017,0.0860443671781625,"Cataluña"
"Abrera",2018,0.116185318002645,"Cataluña"
"Abrera",2019,0.0870962656974416,"Cataluña"
"Aceuchal",2020,0.0474354247372271,"Extremadura"
"Aceuchal",2015,0.0643238287517618,"Extremadura"
"Aceuchal",2016,0.0624409205262014,"Extremadura"
"Aceuchal",2017,0.0590724121284859,"Extremadura"
"Aceuchal",2018,0.0492691164441613,"Extremadura"
"Aceuchal",2019,0.044944930824025,"Extremadura"
"Adamuz",2020,0.0555930161717261,"Andalucía"
"Adamuz",2015,0.054408889829349,"Andalucía"
"Adamuz",2016,0.0537579053629612,"Andalucía"
"Adamuz",2017,0.0591741269260661,"Andalucía"
"Adamuz",2018,0.088571631826741,"Andalucía"
"Adamuz",2019,0.0885083265211234,"Andalucía"
"Adeje",2020,0.162205508769012,"Canarias"
"Adeje",2015,0.15555826056248,"Canarias"
"Adeje",2016,0.155421012803945,"Canarias"
"Adeje",2017,0.144817230699004,"Canarias"
"Adeje",2018,0.146324543040538,"Canarias"
"Adeje",2019,0.139828991867842,"Canarias"
"Adra",2020,0.132634397135396,"Andalucía"
"Adra",2015,0.109777720159549,"Andalucía"
"Adra",2016,0.110338206467722,"Andalucía"
"Adra",2017,0.113294171412284,"Andalucía"
"Adra",2018,0.12891716167447,"Andalucía"
"Adra",2019,0.118261532897712,"Andalucía"
"Adrada, La",2020,0.0544950294105935,"Castilla y León"
"Adrada, La",2015,0.0900444608632272,"Castilla y León"
"Adrada, La",2016,0.00211642313478849,"Castilla y León"
"Adrada, La",2017,0.0495974007798574,"Castilla y León"
"Adrada, La",2018,0.0115359065174189,"Castilla y León"
"Adrada, La",2019,0.0415135260519231,"Castilla y León"
"Agaete",2020,0.0550149715947099,"Canarias"
"Agaete",2015,0.0675777452155997,"Canarias"
"Agaete",2016,0.0504492666565989,"Canarias"
"Agaete",2017,0.0250452363523367,"Canarias"
"Agaete",2018,0.0503252809094346,"Canarias"
"Agaete",2019,0.0667638872581378,"Canarias"
"Agolada",2020,0.141839548500082,"Galicia"
"Agolada",2015,0.0852112465663684,"Galicia"
"Agolada",2016,0.0482460552740469,"Galicia"
"Agolada",2017,0.0960558929220395,"Galicia"
"Agolada",2018,0.138807165138311,"Galicia"
"Agolada",2019,0.141793242995541,"Galicia"
"Agost",2020,0.107739360030743,"Comunidad Valenciana"
"Agost",2015,0.138657170863947,"Comunidad Valenciana"
"Agost",2016,0.168292676487371,"Comunidad Valenciana"
"Agost",2017,0.164567627913077,"Comunidad Valenciana"
"Agost",2018,0.147434414157495,"Comunidad Valenciana"
"Agost",2019,0.0975952397655338,"Comunidad Valenciana"
"Agramunt",2020,0.142371854502336,"Cataluña"
"Agramunt",2015,0.0931199488665588,"Cataluña"
"Agramunt",2016,0.078299373233608,"Cataluña"
"Agramunt",2017,0.0502966644822217,"Cataluña"
"Agramunt",2018,0.0841752645163867,"Cataluña"
"Agramunt",2019,0.114821831065945,"Cataluña"
"Ágreda",2020,0.0145750746318168,"Castilla y León"
"Ágreda",2015,0.0107015677803153,"Castilla y León"
"Ágreda",2016,0.00478379128816137,"Castilla y León"
"Ágreda",2017,0.00213386917625355,"Castilla y León"
"Ágreda",2018,0.0432794740643656,"Castilla y León"
"Ágreda",2019,0.00691685911371787,"Castilla y León"
"Aguadulce",2020,0.0734361512858248,"Andalucía"
"Aguadulce",2015,0.0979038936048588,"Andalucía"
"Aguadulce",2016,0.0341288669570119,"Andalucía"
"Aguadulce",2017,0.107070586374868,"Andalucía"
"Aguadulce",2018,0.0768241601284828,"Andalucía"
"Aguadulce",2019,0.0665230893956642,"Andalucía"
"Agudo",2020,0.0220276607670727,"Castilla - La Mancha"
"Agudo",2015,0.00792325779441697,"Castilla - La Mancha"
"Agudo",2016,0.0223207695172943,"Castilla - La Mancha"
"Agudo",2017,0.0387525973273997,"Castilla - La Mancha"
"Agudo",2018,0.0452905027382194,"Castilla - La Mancha"
"Agudo",2019,0.0574721212690407,"Castilla - La Mancha"
"Aguilar de Campoo",2020,0.0851779041591334,"Castilla y León"
"Aguilar de Campoo",2015,0.120188967082166,"Castilla y León"
"Aguilar de Campoo",2016,0.0951709119402157,"Castilla y León"
"Aguilar de Campoo",2017,0.0700590843197552,"Castilla y León"
"Aguilar de Campoo",2018,0.0716885894214343,"Castilla y León"
"Aguilar de Campoo",2019,0.0835098127985604,"Castilla y León"
"Aguilar de la Frontera",2020,0.0842298268198248,"Andalucía"
"Aguilar de la Frontera",2015,0.10983044605147,"Andalucía"
"Aguilar de la Frontera",2016,0.125568306252104,"Andalucía"
"Aguilar de la Frontera",2017,0.104007547055061,"Andalucía"
"Aguilar de la Frontera",2018,0.101028872967377,"Andalucía"
"Aguilar de la Frontera",2019,0.0924272533833245,"Andalucía"
"Águilas",2020,0.141464380872847,"Murcia, Región de"
"Águilas",2015,0.140497147498073,"Murcia, Región de"
"Águilas",2016,0.142422863092148,"Murcia, Región de"
"Águilas",2017,0.142601320833782,"Murcia, Región de"
"Águilas",2018,0.151107539692154,"Murcia, Región de"
"Águilas",2019,0.146125524048692,"Murcia, Región de"
"Agüimes",2020,0.123399217915985,"Canarias"
"Agüimes",2015,0.127974015825243,"Canarias"
"Agüimes",2016,0.119608708135915,"Canarias"
"Agüimes",2017,0.111290757732537,"Canarias"
"Agüimes",2018,0.116056077823953,"Canarias"
"Agüimes",2019,0.121803515579737,"Canarias"
"Agurain/Salvatierra",2020,0.17874736688044,"País Vasco"
"Aia",2020,0.118671117650536,"País Vasco"
"Aia",2016,0.094824777691166,"País Vasco"
"Aia",2017,0.0262140507353521,"País Vasco"
"Aia",2018,0.0975483773024149,"País Vasco"
"Aia",2019,0.104158160731304,"País Vasco"
"Aielo de Malferit",2020,0.0354544507408381,"Comunidad Valenciana"
"Aielo de Malferit",2015,0.0266376074550011,"Comunidad Valenciana"
"Aielo de Malferit",2016,0.00848772951508675,"Comunidad Valenciana"
"Aielo de Malferit",2017,0.00781991108869731,"Comunidad Valenciana"
"Aielo de Malferit",2018,0.0272860074038832,"Comunidad Valenciana"
"Aielo de Malferit",2019,0.0152446908877154,"Comunidad Valenciana"
"Aitona",2020,0.0746204958640046,"Cataluña"
"Aitona",2015,0.102521690946992,"Cataluña"
"Aitona",2016,0.153836699447352,"Cataluña"
"Aitona",2017,0.142201705276657,"Cataluña"
"Aitona",2018,0.0705401919525045,"Cataluña"
"Aitona",2019,0.0710908748016048,"Cataluña"
"Ajalvir",2020,0.0248958434244606,"Madrid, Comunidad de"
"Ajalvir",2015,0.0623157163776374,"Madrid, Comunidad de"
"Ajalvir",2016,0.0785066201906921,"Madrid, Comunidad de"
"Ajalvir",2017,0.0596882272439806,"Madrid, Comunidad de"
"Ajalvir",2018,0.0712643409694756,"Madrid, Comunidad de"
"Ajalvir",2019,0.0622917398266255,"Madrid, Comunidad de"
"Ajofrín",2020,0.0591379937550454,"Castilla - La Mancha"
